Name,Number of Episodes,Rating
Suspicious Partner,40,8.3
Mine,16,8.3
When the Weather Is Fine,16,8.3
Lawless Lawyer,16,8.3
Crazy Love,16,8.3
WATCHER,16,8.3
Five Enough,54,8.3
Amanza,10,8.3
Light on Me,16,8.3
Bulgasal: Immortal Souls,16,8.3
Liar Game,12,8.3
Tree With Deep Roots,24,8.3
49 Days,20,8.3
D-Day,20,8.3
Awaken,16,8.3
Oh My Venus,16,8.3
Leverage,16,8.3
The King's Affection,20,8.3
A Gentleman's Dignity,20,8.3
Rookie Historian Goo Hae Ryung,40,8.3
Coffee Prince,17,8.3
Ghost,20,8.3
Love Playlist: Season 4,16,8.3
God's Quiz: Reboot,16,8.3
Missing Noir M,10,8.3
Live Up to Your Name,16,8.3
Queen for Seven Days,20,8.3
Memory,16,8.3
A Korean Odyssey,20,8.3
Voice 4: Judgment Hour,14,8.3
